epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.862385,0.158243,5.25729,4.219364,-4.219364,0.767213,0.156251,4.68918,0.001
2,0.871317,0.159065,5.882303,3.971112,-3.971112,0.847265,0.1621,5.904964,0.001
3,0.851912,0.157291,5.616506,3.845845,-3.845845,0.800514,0.150854,5.096466,0.001
4,0.929046,0.170189,5.912926,3.731731,-3.731731,0.90416,0.160246,5.693125,0.001
5,0.919348,0.169772,5.715019,3.644031,-3.644031,0.924835,0.162091,5.317712,0.001
6,0.947178,0.176373,5.862012,3.54817,-3.54817,0.920897,0.167577,5.505044,0.001
7,0.900484,0.172108,5.236562,3.493474,-3.493474,0.87033,0.162782,4.709356,0.001
8,0.838951,0.156273,4.577626,3.418999,-3.418999,0.768106,0.141529,4.450973,0.001
9,0.820486,0.152761,4.244484,3.365415,-3.365415,0.786069,0.149959,3.862235,0.001
10,0.729327,0.139716,3.327819,3.309864,-3.309864,0.753389,0.136133,3.217972,0.001
11,0.723371,0.128635,2.819034,3.299703,-3.299703,0.743249,0.13029,2.60955,0.001
12,0.691746,0.119455,2.848249,3.230422,-3.230422,0.712503,0.128128,2.565676,0.001
13,0.627772,0.109893,2.6471,3.222001,-3.222001,0.631751,0.109335,2.507455,0.001
14,0.635949,0.110607,2.684879,3.198581,-3.198581,0.627135,0.110823,2.112057,0.001
15,0.663192,0.109053,2.963705,3.224156,-3.224156,0.736746,0.115734,2.43854,0.001
16,0.661523,0.113933,2.492598,3.182749,-3.182749,0.671899,0.119951,2.181333,0.001
17,0.655607,0.110672,2.501514,3.167492,-3.167492,0.635299,0.107902,2.122361,0.001
18,0.650843,0.109859,2.528262,3.167827,-3.167827,0.616072,0.10224,1.941231,0.001
19,0.656609,0.10978,2.639772,3.149402,-3.149402,0.709812,0.111138,2.203035,0.001
20,0.626838,0.10583,2.571026,3.150926,-3.150926,0.646206,0.110665,2.228846,0.001
