epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.50085,0.499956,0.506132,0.49734,-0.998658,-0.192828,-0.99869
2,0.502132,0.500527,0.511564,0.494155,-0.997099,-0.185456,-0.99726
3,0.502906,0.500393,0.517756,0.491155,-0.995892,-0.178443,-0.995942
4,0.504096,0.500434,0.523833,0.48834,-0.994456,-0.17136,-0.994604
5,0.505152,0.500574,0.529891,0.485203,-0.992997,-0.164383,-0.99325
6,0.506158,0.500431,0.536161,0.482448,-0.991566,-0.157419,-0.991912
7,0.507228,0.500811,0.541812,0.479536,-0.990078,-0.150044,-0.990503
8,0.508224,0.500663,0.548301,0.47701,-0.988719,-0.143179,-0.989202
9,0.508931,0.500666,0.554429,0.473554,-0.987174,-0.13641,-0.987742
10,0.509683,0.50053,0.560688,0.470159,-0.985627,-0.129734,-0.986308
11,0.510369,0.500659,0.566575,0.466134,-0.984053,-0.123071,-0.984833
12,0.511027,0.500753,0.572891,0.462079,-0.982442,-0.116847,-0.983355
13,0.511704,0.500916,0.57919,0.458012,-0.980784,-0.110632,-0.98186
14,0.512554,0.501062,0.585636,0.454001,-0.979045,-0.104591,-0.980322
15,0.513215,0.501149,0.59184,0.450396,-0.977492,-0.097971,-0.978888
16,0.513932,0.501442,0.597702,0.445899,-0.975844,-0.091636,-0.977381
17,0.5145,0.501695,0.603953,0.441782,-0.974278,-0.085362,-0.975969
18,0.514763,0.50167,0.611113,0.437043,-0.97246,-0.080838,-0.974333
19,0.514956,0.501752,0.617323,0.43098,-0.970535,-0.076556,-0.972573
20,0.515217,0.501796,0.623556,0.42544,-0.968726,-0.071575,-0.97093
