epoch,amount_charged,amount_discharged,soc_below_target,soc_above_target,journey_failure
1,0.516932,0.516463,-1.243113,-0.949059,-0.993681
2,0.527389,0.525672,-1.488988,-0.909581,-0.989451
3,0.54033,0.538031,-1.73383,-0.866444,-0.983341
4,0.557501,0.554541,-1.95594,-0.814887,-0.976138
5,0.575069,0.572265,-2.131669,-0.770404,-0.966573
6,0.590678,0.58757,-2.311013,-0.730404,-0.958706
7,0.605593,0.60292,-2.466621,-0.698474,-0.948269
8,0.619973,0.617257,-2.625755,-0.667396,-0.938463
9,0.632016,0.629195,-2.77963,-0.644875,-0.927841
10,0.642118,0.63905,-2.935753,-0.628227,-0.917327
11,0.654158,0.650963,-3.081132,-0.610527,-0.907132
12,0.666983,0.664497,-3.21947,-0.593926,-0.896597
13,0.670748,0.668057,-3.366182,-0.611026,-0.886272
14,0.682615,0.680651,-3.485609,-0.611221,-0.875675
15,0.687473,0.684871,-3.636759,-0.619521,-0.865642
16,0.69632,0.693909,-3.769112,-0.62452,-0.855072
17,0.699941,0.696962,-3.910273,-0.64338,-0.844551
18,0.702513,0.699463,-4.05572,-0.661604,-0.833952
19,0.716523,0.714514,-4.162928,-0.655058,-0.823332
20,0.721307,0.719167,-4.296023,-0.673776,-0.812771
